geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Anderson,48001,2018,leukemia,~,31.8412614,-95.6617267,~
Andrews,48003,2018,leukemia,~,32.3122581,-102.6402058,~
Angelina,48005,2018,leukemia,17,31.2518963,-94.6111337,18
Aransas,48007,2018,leukemia,~,28.1226209,-96.9675012,~
Archer,48009,2018,leukemia,~,33.6163054,-98.6872669,~
Armstrong,48011,2018,leukemia,~,34.964179,-101.3566363,~
Atascosa,48013,2018,leukemia,~,28.8914775,-98.535381,~
Austin,48015,2018,leukemia,~,29.8919013,-96.2701696,~
Bailey,48017,2018,leukemia,~,34.0675209,-102.8303446,0
Bandera,48019,2018,leukemia,~,29.756389,-99.2482849,~
Bastrop,48021,2018,leukemia,~,30.1007718,-97.3106392,~
Baylor,48023,2018,leukemia,~,33.6188024,-99.2081888,~
Bee,48025,2018,leukemia,~,28.4160769,-97.7425858,~
Bell,48027,2018,leukemia,17.8,31.0370095,-97.4796349,57
Bexar,48029,2018,leukemia,14.8,29.4486708,-98.5201465,276
Blanco,48031,2018,leukemia,~,30.266203,-98.3993321,~
Bosque,48035,2018,leukemia,~,31.9008189,-97.6376407,~
Bowie,48037,2018,leukemia,~,33.4460648,-94.422393,~
Brazoria,48039,2018,leukemia,14.2,29.1678175,-95.434647,49
Brazos,48041,2018,leukemia,19.4,30.6567132,-96.3023935,31
Brewster,48043,2018,leukemia,~,29.8089965,-103.2524579,~
Briscoe,48045,2018,leukemia,~,34.5251725,-101.205893,~
Brooks,48047,2018,leukemia,~,27.0349936,-98.2152756,~
Brown,48049,2018,leukemia,~,31.7641372,-98.998456,~
Burleson,48051,2018,leukemia,~,30.4934867,-96.6220912,~
Burnet,48053,2018,leukemia,29.5,30.7896305,-98.2011868,18
Caldwell,48055,2018,leukemia,~,29.8323986,-97.628141,~
Calhoun,48057,2018,leukemia,~,28.4417191,-96.5795739,~
Callahan,48059,2018,leukemia,~,32.2931499,-99.372249,~
Cameron,48061,2018,leukemia,13.1,26.1029227,-97.4789584,56
Camp,48063,2018,leukemia,~,32.9745813,-94.979085,~
Carson,48065,2018,leukemia,~,35.4054961,-101.3553558,0
Cass,48067,2018,leukemia,~,33.0836979,-94.3575786,~
Castro,48069,2018,leukemia,~,34.5336207,-102.2587856,~
