date,monitor_id,latitude,longitude,rolling_12mo_avg
2/13/2018,BMT-01,30.07664,-94.07121,11
2/13/2018,BMT-01,30.07664,-94.07121,10
2/13/2018,BMT-02,30.07667,-94.06785,4.8
2/13/2018,BMT-03,30.07583,-94.06433,9.3
2/13/2018,BMT-05,30.07319,-94.05821,3.8
2/13/2018,BMT-06,30.07097,-94.05761,1.3
2/13/2018,BMT-07,30.06816,-94.058,1.3
2/13/2018,BMT-08,30.06701,-94.05709,1.4
2/13/2018,BMT-09,30.06896,-94.05434,1
2/13/2018,BMT-10,30.06711,-94.05172,0.9
2/13/2018,BMT-11,30.06474,-94.0527,1
2/13/2018,BMT-12,30.06382,-94.05473,5.6
2/13/2018,BMT-13,30.06308,-94.05812,2.5
2/13/2018,BMT-14,30.0609,-94.06012,1.2
2/13/2018,BMT-15,30.05644,-94.06226,1.2
2/13/2018,BMT-16,30.0564,-94.06921,1.8
2/13/2018,BMT-16,30.0564,-94.06921,1.9
2/13/2018,BMT-17,30.05087,-94.06865,1
2/13/2018,BMT-18,30.0468,-94.07106,1.2
2/13/2018,BMT-19,30.04831,-94.07391,1.5
2/13/2018,BMT-20,30.05013,-94.07581,1.6
2/13/2018,BMT-21,30.05423,-94.0797,1.2
2/13/2018,BMT-22,30.05793,-94.07944,1.5
2/13/2018,BMT-23,30.0594,-94.0786,1.5
2/13/2018,BMT-24,30.06203,-94.0795,2.1
2/13/2018,BMT-25,30.06612,-94.07808,1.8
2/13/2018,BMT-26,30.06983,-94.07565,3.6
2/13/2018,BMT-27,30.07475,-94.07576,2.2
2/27/2018,BMT-01,30.07664,-94.07121,6.6
2/27/2018,BMT-01,30.07664,-94.07121,7.1
2/27/2018,BMT-02,30.07667,-94.06785,3
2/27/2018,BMT-03,30.07583,-94.06433,6
2/27/2018,BMT-05,30.07319,-94.05821,2.7
2/27/2018,BMT-06,30.07097,-94.05761,1.3
2/27/2018,BMT-07,30.06816,-94.058,0.8
2/27/2018,BMT-08,30.06701,-94.05709,1.3
2/27/2018,BMT-09,30.06896,-94.05434,1
2/27/2018,BMT-10,30.06711,-94.05172,0.9
2/27/2018,BMT-11,30.06474,-94.0527,0.8
2/27/2018,BMT-12,30.06382,-94.05473,8.2
2/27/2018,BMT-13,30.06308,-94.05812,0.9
2/27/2018,BMT-14,30.0609,-94.06012,1.1
2/27/2018,BMT-15,30.05644,-94.06226,0.7
2/27/2018,BMT-16,30.0564,-94.06921,0.9
2/27/2018,BMT-16,30.0564,-94.06921,0.9
2/27/2018,BMT-17,30.05087,-94.06865,0.6
2/27/2018,BMT-18,30.0468,-94.07106,0.7
2/27/2018,BMT-19,30.04831,-94.07391,0.8
2/27/2018,BMT-20,30.05013,-94.07581,0.8
2/27/2018,BMT-21,30.05423,-94.0797,0.7
2/27/2018,BMT-22,30.05793,-94.07944,1.2
2/27/2018,BMT-23,30.0594,-94.0786,1.1
2/27/2018,BMT-24,30.06203,-94.0795,1.2
2/27/2018,BMT-25,30.06612,-94.07808,1.2
2/27/2018,BMT-26,30.06983,-94.07565,2.3
2/27/2018,BMT-27,30.07475,-94.07576,1.6
3/13/2018,BMT-01,30.07664,-94.07121,6.5
3/13/2018,BMT-01,30.07664,-94.07121,6.4
3/13/2018,BMT-02,30.07667,-94.06785,3.2
3/13/2018,BMT-03,30.07583,-94.06433,5.1
3/13/2018,BMT-05,30.07319,-94.05821,3.3
3/13/2018,BMT-06,30.07097,-94.05761,1.5
3/13/2018,BMT-07,30.06816,-94.058,1.3
3/13/2018,BMT-08,30.06701,-94.05709,1.4
3/13/2018,BMT-09,30.06896,-94.05434,1
3/13/2018,BMT-10,30.06711,-94.05172,0.9
3/13/2018,BMT-11,30.06474,-94.0527,0.9
3/13/2018,BMT-12,30.06382,-94.05473,4.8
3/13/2018,BMT-13,30.06308,-94.05812,1.8
3/13/2018,BMT-14,30.0609,-94.06012,1.7
3/13/2018,BMT-15,30.05644,-94.06226,1.4
3/13/2018,BMT-16,30.0564,-94.06921,1.6
3/13/2018,BMT-16,30.0564,-94.06921,1.4
3/13/2018,BMT-17,30.05087,-94.06865,1
3/13/2018,BMT-18,30.0468,-94.07106,1.1
3/13/2018,BMT-19,30.04831,-94.07391,1.3
3/13/2018,BMT-20,30.05013,-94.07581,1.2
3/13/2018,BMT-21,30.05423,-94.0797,1
3/13/2018,BMT-22,30.05793,-94.07944,NA
3/13/2018,BMT-23,30.0594,-94.0786,1.5
3/13/2018,BMT-24,30.06203,-94.0795,1.6
3/13/2018,BMT-25,30.06612,-94.07808,1.5
3/13/2018,BMT-26,30.06983,-94.07565,2.5
3/13/2018,BMT-27,30.07475,-94.07576,2.3
3/27/2018,BMT-01,30.07664,-94.07121,9.1
3/27/2018,BMT-01,30.07664,-94.07121,9.3
3/27/2018,BMT-02,30.07667,-94.06785,4
3/27/2018,BMT-03,30.07583,-94.06433,7.6
3/27/2018,BMT-05,30.07319,-94.05821,26
3/27/2018,BMT-06,30.07097,-94.05761,2.5
3/27/2018,BMT-07,30.06816,-94.058,1.6
3/27/2018,BMT-08,30.06701,-94.05709,2
3/27/2018,BMT-09,30.06896,-94.05434,1.4
3/27/2018,BMT-10,30.06711,-94.05172,1
3/27/2018,BMT-11,30.06474,-94.0527,1.1
3/27/2018,BMT-12,30.06382,-94.05473,9.2
3/27/2018,BMT-13,30.06308,-94.05812,1.1
3/27/2018,BMT-14,30.0609,-94.06012,1.6
