date,wind_speed,wind_direction_degrees
2/13/2018,4.25,81.7
2/14/2018,5.96,159.2
2/15/2018,6.77,180.4
2/16/2018,5.24,208.1
2/17/2018,4.39,210.6
2/18/2018,5.04,141.1
2/19/2018,8.04,154.2
2/20/2018,8.59,154.2
2/21/2018,6.81,160.2
2/22/2018,6.1,161
2/23/2018,6.09,151.2
2/24/2018,7.67,176
2/25/2018,3.8,144.3
2/26/2018,5.31,48.7
2/27/2018,7.04,137.2
2/28/2018,7.3,177.5
3/1/2018,6.11,1.8
3/2/2018,5.41,55
3/3/2018,5.9,95
3/4/2018,6.66,133.8
3/5/2018,6.18,195.3
3/6/2018,6.04,11.1
3/7/2018,5.86,348.9
3/8/2018,4.76,83.5
3/9/2018,6.51,153.7
3/10/2018,6.44,178.2
3/11/2018,5.92,316.7
3/12/2018,5.53,14
3/13/2018,3.73,30
3/14/2018,3.94,92.8
3/15/2018,6.05,166.3
3/16/2018,6.91,197.2
3/17/2018,4.9,181.3
3/18/2018,4.08,178.2
3/19/2018,6.39,282
3/20/2018,7.1,331.5
3/21/2018,3.24,39.2
3/22/2018,4.99,136.1
3/23/2018,7.66,173
3/24/2018,7.58,195.9
3/25/2018,5.85,167.4
3/26/2018,8.41,157.1
3/27/2018,7.97,153.2
3/28/2018,7.44,156.3
3/29/2018,4.1,209.8
3/30/2018,5.37,38.3
3/31/2018,5.82,149.2
4/1/2018,6.28,168.5
4/2/2018,6.4,169.6
4/3/2018,6.88,179.9
4/4/2018,7.58,35.9
4/5/2018,5.66,114.4
4/6/2018,7.08,179.5
4/7/2018,6.4,359.9
4/8/2018,3.1,66
4/9/2018,4.59,40.2
4/10/2018,5.73,21
4/11/2018,4.99,131
4/12/2018,7.66,164.3
4/13/2018,8.97,167.5
4/14/2018,7.17,313.8
4/15/2018,7.09,321
4/16/2018,3.46,183.3
4/17/2018,8.04,188.3
4/18/2018,5.15,215.9
4/19/2018,6.2,18.3
4/20/2018,5.54,82.9
4/21/2018,7.35,129.7
4/22/2018,6.71,307.7
4/23/2018,5.37,313.7
4/24/2018,2.94,337.3
4/25/2018,3.48,262.6
4/26/2018,4.99,346.3
4/27/2018,3.5,12.9
4/28/2018,2.6,178.5
4/29/2018,4.13,165.9
4/30/2018,5.52,144.4
5/1/2018,7.17,143.7
5/2/2018,8.23,151.8
5/3/2018,7.39,157.2
5/4/2018,4.14,166.5
5/5/2018,3.72,348.9
5/6/2018,2.52,14.4
5/7/2018,3.48,229.8
5/8/2018,4.78,220
5/9/2018,4.64,193.7
5/10/2018,5.2,169.2
5/11/2018,6.71,160.4
5/12/2018,6.1,154.3
5/13/2018,4.77,156.2
5/14/2018,4.16,179.7
5/15/2018,3.45,224.2
5/16/2018,4.77,238.7
5/17/2018,5.12,242.5
5/18/2018,5.56,203.7
5/19/2018,6.47,162
5/20/2018,4.79,152.2
5/21/2018,3.36,168.4
5/22/2018,2.82,152.9
5/23/2018,2.99,134.6
5/24/2018,3.21,100.9
5/25/2018,2.54,180.9
5/26/2018,3.27,203.3
5/27/2018,2.15,169.5
5/28/2018,2.64,276
5/29/2018,4.44,229.5
5/30/2018,5.26,186.1
5/31/2018,6.29,177.4
6/1/2018,5.52,185.9
6/2/2018,5.25,203.7
6/3/2018,3.02,243.7
6/4/2018,3.28,217.1
6/5/2018,3.94,209
6/6/2018,3.15,171.2
6/7/2018,3.89,152
6/8/2018,4.01,152.2
6/9/2018,3.8,174.9
6/10/2018,6.12,186.9
6/11/2018,6.22,182
6/12/2018,5.7,174.6
6/13/2018,4.23,173.8
6/14/2018,3.62,182
6/15/2018,4.87,165.1
6/16/2018,5.79,142.4
6/17/2018,7.52,125.7
6/18/2018,8.28,125.6
6/19/2018,6.77,124.6
6/20/2018,5.49,131.6
6/21/2018,3.7,175.9
6/22/2018,5.49,211.2
6/23/2018,6.33,185.5
6/24/2018,6.49,174.6
6/25/2018,5.65,164.2
6/26/2018,3.93,179
6/27/2018,4.09,199.1
6/28/2018,4.66,198.4
6/29/2018,4.79,190.8
6/30/2018,4.82,187.3
7/1/2018,4.37,197.2
7/2/2018,3.63,209
7/3/2018,3.45,226.1
7/4/2018,4.42,155.1
7/5/2018,2.58,55.4
7/6/2018,3.7,75.9
7/7/2018,2.14,103.2
7/8/2018,2.44,163.3
7/9/2018,2.5,195.7
7/10/2018,2.12,204.6
7/11/2018,2.9,232.2
7/12/2018,2.87,226.7
7/13/2018,3.12,202
7/14/2018,3.67,210.1
7/15/2018,4.02,220.6
7/16/2018,4.43,227
7/17/2018,4.86,232.2
7/18/2018,4.9,224.8
7/19/2018,4.71,227.5
7/20/2018,4.9,226.5
7/21/2018,5.15,229.3
7/22/2018,5.82,238.9
7/23/2018,4.94,245.2
7/24/2018,2.87,49
7/25/2018,2.96,56.8
7/26/2018,3.63,132.1
7/27/2018,3.46,194.8
7/28/2018,3.22,184.6
7/29/2018,2.49,179.7
7/30/2018,3.39,202.8
7/31/2018,2.86,254.6
8/1/2018,2.62,1.6
8/2/2018,3.17,60.6
8/3/2018,3.6,127
8/4/2018,4.11,157.1
8/5/2018,4.41,122.2
8/6/2018,4.47,144.2
8/7/2018,3.36,160.6
8/8/2018,3.8,178.3
8/9/2018,4.05,199
8/10/2018,4.18,209.7
8/11/2018,3.01,185.8
8/12/2018,4.29,171.8
8/13/2018,4.14,167.1
8/14/2018,4.43,168.5
8/15/2018,4.61,186.5
8/16/2018,4.03,202.3
8/17/2018,3.9,198.7
8/18/2018,4.54,210.9
8/19/2018,5.86,205.7
8/20/2018,5.46,214.2
8/21/2018,4.5,242.5
8/22/2018,3,354
8/23/2018,2.89,122.2
8/24/2018,3.28,161.1
8/25/2018,4.33,142.3
8/26/2018,3.78,148.5
8/27/2018,4.66,155.1
8/28/2018,4.48,159.6
8/29/2018,3.83,139.5
8/30/2018,4.15,109.6
8/31/2018,3.86,102.4
9/1/2018,3.93,106.5
9/2/2018,3.32,90.9
9/3/2018,4.75,131.9
9/4/2018,4.85,96.5
9/5/2018,3.76,112
9/6/2018,2.28,197
9/7/2018,3.19,212.9
9/8/2018,3.74,198.8
9/9/2018,1.82,228.3
9/10/2018,2.78,77
9/11/2018,4.14,94.9
9/12/2018,5.26,82.9
9/13/2018,5.44,71.6
9/14/2018,4.57,90.8
9/15/2018,3.53,114.2
9/16/2018,2.41,281.2
9/17/2018,3.26,277.4
9/18/2018,3.19,258.9
9/19/2018,3.11,212.6
9/20/2018,3.67,157.6
9/21/2018,4.88,154.8
9/22/2018,4.35,170.3
9/23/2018,4.36,192.7
9/24/2018,3.39,214.9
9/25/2018,4.02,177.5
9/26/2018,2.05,206.2
9/27/2018,3.34,345.5
9/28/2018,3.68,73.2
9/29/2018,4.2,89.5
9/30/2018,4.43,96.8
10/1/2018,3.95,90.7
10/2/2018,3.7,107.8
10/3/2018,3.51,138.2
10/4/2018,3.41,144.7
10/5/2018,4.93,134.7
10/6/2018,4.67,127
10/7/2018,6.01,128.5
10/8/2018,5.9,121.7
10/9/2018,5.17,112.9
10/10/2018,4.61,3.2
10/11/2018,5.29,23.9
10/12/2018,3.82,97.3
10/13/2018,6.33,154.5
10/14/2018,6.05,169.8
10/15/2018,4.57,56.9
10/16/2018,5.64,27.2
10/17/2018,5.81,25.3
10/18/2018,6.11,48.6
10/19/2018,4.52,82.6
10/20/2018,4.73,13.5
10/21/2018,6.32,40.2
10/22/2018,4.35,40.6
10/23/2018,5.61,28.3
10/24/2018,6.84,69.9
10/25/2018,5.44,307.6
10/26/2018,4.74,316.2
10/27/2018,3.76,237.1
10/28/2018,5.11,241
10/29/2018,4.83,213.4
10/30/2018,6.8,172.9
10/31/2018,7.13,171.4
11/1/2018,6.12,319.3
11/2/2018,4.42,281.3
11/3/2018,7.07,179.2
11/4/2018,5.06,105.6
11/5/2018,7,175.8
11/6/2018,3.95,182
11/7/2018,4.34,184.9
11/8/2018,3.23,51
11/9/2018,7.43,13.8
11/10/2018,4.98,31.3
11/11/2018,4.91,61.4
11/12/2018,6.83,0.4
11/13/2018,7.67,339.4
11/14/2018,5.75,328.1
11/15/2018,2.74,304.5
11/16/2018,3.05,194.5
11/17/2018,4.82,125.4
11/18/2018,3.11,103.9
11/19/2018,4.78,17.8
11/20/2018,5.9,18.5
11/21/2018,4.08,51.7
11/22/2018,3.58,73
11/23/2018,4.5,174.4
11/24/2018,3.76,171.5
11/25/2018,7.28,282.3
11/26/2018,6.91,343.2
11/27/2018,3.62,263
11/28/2018,5.78,178.7
11/29/2018,6.89,185.1
11/30/2018,6.91,157.7
12/1/2018,6.37,246.4
12/2/2018,4.94,327.2
12/3/2018,6.67,17.6
12/4/2018,5.72,15.7
12/5/2018,4.31,61.4
12/6/2018,5.48,110.4
12/7/2018,6.54,132.5
12/8/2018,6.93,301.6
12/9/2018,5.99,335.6
12/10/2018,4.17,334.1
12/11/2018,4.31,124.5
