geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count,exposure_lag_years,exposure_mean,exposure_rolling12,exposure_max,exposure_exceedances,exposure_wind_weighted,exposure_distance_weighted
Angelina,48005,2018,leukemia,17.0,31.2518963,-94.6111337,18.0,5,1.8139631307619803,1.6321239866658863,210.0,0.0,1.7463129788791956,1.8139631307619803
Bell,48027,2018,leukemia,17.8,31.0370095,-97.4796349,57.0,5,1.8079812036447587,1.6265258180718778,3.1,0.0,1.7405272846097612,1.8079812036447587
Bexar,48029,2018,leukemia,14.8,29.4486708,-98.5201465,276.0,5,1.8066955486546272,1.6253000579268695,1.6,0.0,1.739296181750915,1.8066955486546272
Brazoria,48039,2018,leukemia,14.2,29.1678175,-95.434647,49.0,5,1.8028997098433697,1.6218594300297504,1.6,0.0,1.735567227624579,1.8028997098433697
Brazos,48041,2018,leukemia,19.4,30.6567132,-96.3023935,31.0,5,1.8082101916222244,1.6268085386372255,3.1,0.0,1.740712508966511,1.8082101916222244
Burnet,48053,2018,leukemia,29.5,30.7896305,-98.2011868,18.0,5,1.8075811355531644,1.6261359873173613,2.0,0.0,1.740148635327882,1.8075811355531644
Cameron,48061,2018,leukemia,13.1,26.1029227,-97.4789584,56.0,5,1.8056730516251076,1.6242898114016768,2.6,0.0,1.7383361282782688,1.8056730516251076
Collin,48085,2018,leukemia,16.4,33.1944818,-96.5794285,147.0,5,1.8092386490769032,1.6276391695109433,3.1,0.0,1.7417769307054198,1.8092386490769032
Comal,48091,2018,leukemia,29.3,29.8123773,-98.2581288,52.0,5,1.8068737200942744,1.6254756461550504,1.6,0.0,1.7394637393952241,1.8068737200942744
Dallas,48113,2018,leukemia,16.2,32.7669866,-96.7784238,380.0,5,1.8091655373118312,1.6275845062264376,3.1,0.0,1.7416989103097504,1.8091655373118312
Denton,48123,2018,leukemia,19.6,29.0823457,-97.3616543,144.0,5,1.8059878496903425,1.624661735952999,1.6,0.0,1.7385991969364663,1.8059878496903425
Ector,48135,2018,leukemia,14.5,31.8653008,-102.5425068,20.0,5,1.8075219587265525,1.626023539832779,3.1,0.0,1.7401218193328254,1.8075219587265525
El Paso,48141,2018,leukemia,13.0,31.7664559,-106.2415203,111.0,5,1.8074026360853583,1.6258970928671415,2.0,0.0,1.7400143465586213,1.8074026360853583
Ellis,48139,2018,leukemia,16.7,32.3468783,-96.7969403,31.0,5,1.8091349293319214,1.6275706222782673,3.1,0.0,1.74166146637592,1.8091349293319214
Fort Bend,48157,2018,leukemia,14.5,29.5266017,-95.7710149,103.0,5,1.8046133615936304,1.6234893128573777,1.6,0.0,1.737209968057229,1.8046133615936304
Galveston,48167,2018,leukemia,19.9,29.2339273,-94.8881969,71.0,5,1.8000981950535904,1.619258774694468,2.6,0.0,1.7328482771775875,1.8000981950535904
Grayson,48181,2018,leukemia,23.5,33.6245482,-96.6757774,38.0,5,1.8091160026994937,1.6275149630147543,3.1,0.0,1.7416633516094344,1.8091160026994937
Gregg,48183,2018,leukemia,17.9,32.4864014,-94.8162768,26.0,5,1.8108802058965319,1.629158548338352,210.0,0.0,1.743373410138159,1.8108802058965319
Guadalupe,48187,2018,leukemia,24.0,29.5826714,-97.9489953,41.0,5,1.8066385117412507,1.6252623193832272,1.6,0.0,1.7392327124721754,1.8066385117412507
Harris,48201,2018,leukemia,14.5,29.857273,-95.3930371,582.0,5,1.8049466419575622,1.6239006447179825,1.6,0.0,1.7374798768798032,1.8049466419575622
Hays,48209,2018,leukemia,16.2,30.0612247,-98.0292673,30.0,5,1.80703274688559,1.6256316494986653,1.6,0.0,1.7396136811571365,1.80703274688559
Henderson,48213,2018,leukemia,15.8,32.2116334,-95.8534183,19.0,5,1.810030318080511,1.6284101046131776,3.1,0.0,1.7425265495269096,1.810030318080511
Hidalgo,48215,2018,leukemia,13.0,26.3963839,-98.18099,104.0,5,1.8058719378192043,1.6244821065460298,2.6,0.0,1.7385250978908537,1.8058719378192043
Hood,48221,2018,leukemia,19.5,32.430149,-97.8316766,21.0,5,1.808533963584047,1.6270005292400467,3.1,0.0,1.7410844140694137,1.808533963584047
Hunt,48231,2018,leukemia,26.2,33.1233077,-96.0842298,27.0,5,1.8095376787296011,1.6279156438419689,3.1,0.0,1.7420678948404478,1.8095376787296011
Jefferson,48245,2018,leukemia,12.3,29.8540273,-94.1493184,37.0,5,1.7660970713477695,1.587767043729176,2.1,0.0,1.6998588620454165,1.7660970713477695
Johnson,48251,2018,leukemia,21.9,32.379654,-97.3649061,41.0,5,1.8087642245827125,1.6272203692689475,3.1,0.0,1.7413047596549893,1.8087642245827125
Kaufman,48257,2018,leukemia,15.6,32.5989442,-96.2883773,20.0,5,1.8095300134429413,1.6279286941506252,3.1,0.0,1.7420497269346589,1.8095300134429413
Lubbock,48303,2018,leukemia,17.7,33.6114688,-101.8199438,50.0,5,1.8078262921331107,1.6263033698931673,3.1,0.0,1.7404187336154446,1.8078262921331107
McLennan,48309,2018,leukemia,20.2,31.5495958,-97.2015108,55.0,5,1.8085298820399391,1.6270307322152673,3.1,0.0,1.7410623917733143,1.8085298820399391
Midland,48329,2018,leukemia,13.5,31.8142693,-102.0024538,19.0,5,1.8075441033182607,1.6260476010126934,3.1,0.0,1.7401414488553508,1.8075441033182607
Montgomery,48339,2018,leukemia,15.9,30.2988009,-95.50295,94.0,5,1.8078711129458833,1.626614755029066,2.0,0.0,1.7403197032676339,1.8078711129458833
Nueces,48355,2018,leukemia,10.4,27.7399747,-97.516301,40.0,5,1.8055884704777598,1.6242456250888788,1.6,0.0,1.7382356613845091,1.8055884704777598
Parker,48367,2018,leukemia,20.7,32.7770964,-97.8059049,33.0,5,1.808613862810996,1.6270672656544622,3.1,0.0,1.7411659512975926,1.808613862810996
Potter,48375,2018,leukemia,20.7,35.3986751,-101.893804,25.0,5,1.807951640356383,1.626410015153751,3.1,0.0,1.7405456265448829,1.807951640356383
Randall,48381,2018,leukemia,18.1,34.962529,-101.8955472,29.0,5,1.8079296528488018,1.6263918950539098,3.1,0.0,1.7405230543924417,1.8079296528488018
Rusk,48401,2018,leukemia,26.2,32.1094232,-94.7563823,16.0,5,1.811475334683705,1.6297277801026424,210.0,0.0,1.7439424677980602,1.811475334683705
Smith,48423,2018,leukemia,17.4,32.3751053,-95.2689389,50.0,5,1.8105860436337833,1.6289067290444084,210.0,0.0,1.7430764447914668,1.8105860436337833
Tarrant,48439,2018,leukemia,16.7,32.7721191,-97.2912241,322.0,5,1.808864703998385,1.6273033797331686,3.1,0.0,1.7414077850980103,1.808864703998385
Taylor,48441,2018,leukemia,16.2,32.2971255,-99.8904299,25.0,5,1.807882680478299,1.6263764668685654,3.1,0.0,1.7404624123563401,1.807882680478299
Travis,48453,2018,leukemia,16.4,30.2395128,-97.6912697,175.0,5,1.807174573008944,1.6257751881529139,2.0,0.0,1.7397450679986945,1.807174573008944
Victoria,48469,2018,leukemia,21.6,28.7963699,-96.9711977,25.0,5,1.8054911849156625,1.6241981076199579,1.6,0.0,1.7381184015967688,1.8054911849156625
Webb,48479,2018,leukemia,12.4,27.7607987,-99.3407518,31.0,5,1.8063333659880247,1.6249292217387439,1.6,0.0,1.7389630211501925,1.8063333659880247
Wichita,48485,2018,leukemia,18.2,33.9882125,-98.7080098,24.0,5,1.8084084279697328,1.6268525180810933,3.1,0.0,1.740979286985081,1.8084084279697328
Williamson,48491,2018,leukemia,16.2,30.6490817,-97.6050646,88.0,5,1.8075828806245877,1.6261566170026194,2.0,0.0,1.7401402323479243,1.8075828806245877
Angelina,48005,2019,leukemia,17.1,31.2518963,-94.6111337,18.0,5,1.8139631307619803,1.6321239866658863,210.0,0.0,1.7463129788791956,1.8139631307619803
Bastrop,48021,2019,leukemia,14.7,30.1007718,-97.3106392,16.0,5,1.8070059739181343,1.6256328126222264,2.0,0.0,1.7395738708356758,1.8070059739181343
Bell,48027,2019,leukemia,16.7,31.0370095,-97.4796349,55.0,5,1.8079812036447587,1.6265258180718778,3.1,0.0,1.7405272846097612,1.8079812036447587
Bexar,48029,2019,leukemia,14.2,29.4486708,-98.5201465,271.0,5,1.8066955486546272,1.6253000579268695,1.6,0.0,1.739296181750915,1.8066955486546272
Brazoria,48039,2019,leukemia,17.9,29.1678175,-95.434647,67.0,5,1.8028997098433697,1.6218594300297504,1.6,0.0,1.735567227624579,1.8028997098433697
Brazos,48041,2019,leukemia,14.8,30.6567132,-96.3023935,26.0,5,1.8082101916222244,1.6268085386372255,3.1,0.0,1.740712508966511,1.8082101916222244
Cameron,48061,2019,leukemia,14.9,26.1029227,-97.4789584,64.0,5,1.8056730516251076,1.6242898114016768,2.6,0.0,1.7383361282782688,1.8056730516251076
Collin,48085,2019,leukemia,17.1,33.1944818,-96.5794285,165.0,5,1.8092386490769032,1.6276391695109433,3.1,0.0,1.7417769307054198,1.8092386490769032
Comal,48091,2019,leukemia,13.1,29.8123773,-98.2581288,26.0,5,1.8068737200942744,1.6254756461550504,1.6,0.0,1.7394637393952241,1.8068737200942744
Dallas,48113,2019,leukemia,14.8,32.7669866,-96.7784238,354.0,5,1.8091655373118312,1.6275845062264376,3.1,0.0,1.7416989103097504,1.8091655373118312
Denton,48123,2019,leukemia,19.1,29.0823457,-97.3616543,147.0,5,1.8059878496903425,1.624661735952999,1.6,0.0,1.7385991969364663,1.8059878496903425
Ector,48135,2019,leukemia,13.8,31.8653008,-102.5425068,22.0,5,1.8075219587265525,1.626023539832779,3.1,0.0,1.7401218193328254,1.8075219587265525
El Paso,48141,2019,leukemia,16.3,31.7664559,-106.2415203,136.0,5,1.8074026360853583,1.6258970928671415,2.0,0.0,1.7400143465586213,1.8074026360853583
Ellis,48139,2019,leukemia,21.3,32.3468783,-96.7969403,40.0,5,1.8091349293319214,1.6275706222782673,3.1,0.0,1.74166146637592,1.8091349293319214
Fort Bend,48157,2019,leukemia,15.1,29.5266017,-95.7710149,103.0,5,1.8046133615936304,1.6234893128573777,1.6,0.0,1.737209968057229,1.8046133615936304
Galveston,48167,2019,leukemia,15.8,29.2339273,-94.8881969,57.0,5,1.8000981950535904,1.619258774694468,2.6,0.0,1.7328482771775875,1.8000981950535904
Grayson,48181,2019,leukemia,18.4,33.6245482,-96.6757774,31.0,5,1.8091160026994937,1.6275149630147543,3.1,0.0,1.7416633516094344,1.8091160026994937
Gregg,48183,2019,leukemia,16.8,32.4864014,-94.8162768,25.0,5,1.8108802058965319,1.629158548338352,210.0,0.0,1.743373410138159,1.8108802058965319
Guadalupe,48187,2019,leukemia,13.0,29.5826714,-97.9489953,23.0,5,1.8066385117412507,1.6252623193832272,1.6,0.0,1.7392327124721754,1.8066385117412507
Harris,48201,2019,leukemia,13.2,29.857273,-95.3930371,563.0,5,1.8049466419575622,1.6239006447179825,1.6,0.0,1.7374798768798032,1.8049466419575622
Harrison,48203,2019,leukemia,21.7,32.5479914,-94.3744344,18.0,5,1.8110596733385604,1.6293024017258801,210.0,0.0,1.7435598043126583,1.8110596733385604
Hays,48209,2019,leukemia,16.7,30.0612247,-98.0292673,35.0,5,1.80703274688559,1.6256316494986653,1.6,0.0,1.7396136811571365,1.80703274688559
Henderson,48213,2019,leukemia,16.6,32.2116334,-95.8534183,20.0,5,1.810030318080511,1.6284101046131776,3.1,0.0,1.7425265495269096,1.810030318080511
Hidalgo,48215,2019,leukemia,12.4,26.3963839,-98.18099,99.0,5,1.8058719378192043,1.6244821065460298,2.6,0.0,1.7385250978908537,1.8058719378192043
Hood,48221,2019,leukemia,32.2,32.430149,-97.8316766,29.0,5,1.808533963584047,1.6270005292400467,3.1,0.0,1.7410844140694137,1.808533963584047
Hunt,48231,2019,leukemia,22.2,33.1233077,-96.0842298,24.0,5,1.8095376787296011,1.6279156438419689,3.1,0.0,1.7420678948404478,1.8095376787296011
Jefferson,48245,2019,leukemia,18.3,29.8540273,-94.1493184,51.0,5,1.7660970713477695,1.587767043729176,2.1,0.0,1.6998588620454165,1.7660970713477695
Johnson,48251,2019,leukemia,14.2,32.379654,-97.3649061,26.0,5,1.8087642245827125,1.6272203692689475,3.1,0.0,1.7413047596549893,1.8087642245827125
Kaufman,48257,2019,leukemia,23.9,32.5989442,-96.2883773,32.0,5,1.8095300134429413,1.6279286941506252,3.1,0.0,1.7420497269346589,1.8095300134429413
Lubbock,48303,2019,leukemia,14.8,33.6114688,-101.8199438,42.0,5,1.8078262921331107,1.6263033698931673,3.1,0.0,1.7404187336154446,1.8078262921331107
McLennan,48309,2019,leukemia,10.3,31.5495958,-97.2015108,30.0,5,1.8085298820399391,1.6270307322152673,3.1,0.0,1.7410623917733143,1.8085298820399391
Midland,48329,2019,leukemia,15.4,31.8142693,-102.0024538,22.0,5,1.8075441033182607,1.6260476010126934,3.1,0.0,1.7401414488553508,1.8075441033182607
