"id","facility_name","city","state","type","period_start","period_end","monitor_name","monitor_lat","monitor_long","concentration","unit","flags","explanation","contaminant","sampler_type"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-01-30T00:00:00+00:00","2018-02-13T00:00:00+00:00","BMRF-01",30.07664,-94.07121,11,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-01-30T00:00:00+00:00","2018-02-13T00:00:00+00:00","BMRF-01",30.07664,-94.07121,10,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-02-13T00:00:00+00:00","2018-02-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-02-13T00:00:00+00:00","2018-02-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,7.1,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-02-27T00:00:00+00:00","2018-03-13T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.5,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-02-27T00:00:00+00:00","2018-03-13T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-03-13T00:00:00+00:00","2018-03-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,9.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-03-13T00:00:00+00:00","2018-03-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,9.3,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-03-27T00:00:00+00:00","2018-04-10T00:00:00+00:00","BMRF-01",30.07664,-94.07121,7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-03-27T00:00:00+00:00","2018-04-10T00:00:00+00:00","BMRF-01",30.07664,-94.07121,7.1,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-04-10T00:00:00+00:00","2018-04-24T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-04-10T00:00:00+00:00","2018-04-24T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.6,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-04-24T00:00:00+00:00","2018-05-08T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-04-24T00:00:00+00:00","2018-05-08T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-05-08T00:00:00+00:00","2018-05-22T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-05-08T00:00:00+00:00","2018-05-22T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-05-22T00:00:00+00:00","2018-06-05T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-05-22T00:00:00+00:00","2018-06-05T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.2,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-06-05T00:00:00+00:00","2018-06-19T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-06-05T00:00:00+00:00","2018-06-19T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-06-19T00:00:00+00:00","2018-07-03T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-06-19T00:00:00+00:00","2018-07-03T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.5,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-07-03T00:00:00+00:00","2018-07-17T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.3,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-07-03T00:00:00+00:00","2018-07-17T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.3,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-07-17T00:00:00+00:00","2018-07-31T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.5,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-07-17T00:00:00+00:00","2018-07-31T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-07-31T00:00:00+00:00","2018-08-14T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-07-31T00:00:00+00:00","2018-08-14T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-08-14T00:00:00+00:00","2018-08-28T00:00:00+00:00","BMRF-01",30.07664,-94.07121,10,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-08-14T00:00:00+00:00","2018-08-28T00:00:00+00:00","BMRF-01",30.07664,-94.07121,9.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-08-28T00:00:00+00:00","2018-09-11T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-08-28T00:00:00+00:00","2018-09-11T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-09-11T00:00:00+00:00","2018-09-25T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-09-11T00:00:00+00:00","2018-09-25T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.1,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-09-25T00:00:00+00:00","2018-10-09T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-09-25T00:00:00+00:00","2018-10-09T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-10-09T00:00:00+00:00","2018-10-23T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-10-09T00:00:00+00:00","2018-10-23T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.5,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-10-23T00:00:00+00:00","2018-11-06T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-10-23T00:00:00+00:00","2018-11-06T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-11-06T00:00:00+00:00","2018-11-20T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-11-06T00:00:00+00:00","2018-11-20T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-11-20T00:00:00+00:00","2018-12-04T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-11-20T00:00:00+00:00","2018-12-04T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-12-04T00:00:00+00:00","2018-12-18T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-12-04T00:00:00+00:00","2018-12-18T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-12-18T00:00:00+00:00","2019-01-02T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2018-12-18T00:00:00+00:00","2019-01-02T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.7,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-01-02T00:00:00+00:00","2019-01-15T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-01-02T00:00:00+00:00","2019-01-15T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-01-15T00:00:00+00:00","2019-01-29T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-01-15T00:00:00+00:00","2019-01-29T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-01-29T00:00:00+00:00","2019-02-12T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-01-29T00:00:00+00:00","2019-02-12T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.6,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-02-12T00:00:00+00:00","2019-02-26T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-02-12T00:00:00+00:00","2019-02-26T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-02-26T00:00:00+00:00","2019-03-12T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-02-26T00:00:00+00:00","2019-03-12T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-03-12T00:00:00+00:00","2019-03-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-03-12T00:00:00+00:00","2019-03-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.6,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-03-27T00:00:00+00:00","2019-04-09T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-03-27T00:00:00+00:00","2019-04-09T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.6,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-04-09T00:00:00+00:00","2019-04-23T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-04-09T00:00:00+00:00","2019-04-23T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-04-23T00:00:00+00:00","2019-05-07T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-04-23T00:00:00+00:00","2019-05-07T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-05-07T00:00:00+00:00","2019-05-21T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-05-07T00:00:00+00:00","2019-05-21T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-05-21T00:00:00+00:00","2019-06-04T00:00:00+00:00","BMRF-01",30.07664,-94.07121,6.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-05-21T00:00:00+00:00","2019-06-04T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.7,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-06-04T00:00:00+00:00","2019-06-18T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-06-04T00:00:00+00:00","2019-06-18T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.7,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-06-18T00:00:00+00:00","2019-07-02T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-06-18T00:00:00+00:00","2019-07-02T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-07-02T00:00:00+00:00","2019-07-16T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-07-02T00:00:00+00:00","2019-07-16T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.6,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-07-16T00:00:00+00:00","2019-07-30T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-07-16T00:00:00+00:00","2019-07-30T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.1,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-07-30T00:00:00+00:00","2019-08-13T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.5,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-07-30T00:00:00+00:00","2019-08-13T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.6,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-08-13T00:00:00+00:00","2019-08-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-08-13T00:00:00+00:00","2019-08-27T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-08-27T00:00:00+00:00","2019-09-10T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-08-27T00:00:00+00:00","2019-09-10T00:00:00+00:00","BMRF-01",30.07664,-94.07121,4.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-09-10T00:00:00+00:00","2019-09-24T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5.3,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-09-10T00:00:00+00:00","2019-09-24T00:00:00+00:00","BMRF-01",30.07664,-94.07121,5,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-09-24T00:00:00+00:00","2019-10-08T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-09-24T00:00:00+00:00","2019-10-08T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-10-08T00:00:00+00:00","2019-10-22T00:00:00+00:00","BMRF-01",30.07664,-94.07121,18,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-10-08T00:00:00+00:00","2019-10-22T00:00:00+00:00","BMRF-01",30.07664,-94.07121,16,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-10-22T00:00:00+00:00","2019-11-05T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-10-22T00:00:00+00:00","2019-11-05T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-11-05T00:00:00+00:00","2019-11-19T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-11-05T00:00:00+00:00","2019-11-19T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.7,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-11-19T00:00:00+00:00","2019-12-03T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-11-19T00:00:00+00:00","2019-12-03T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-03T00:00:00+00:00","2019-12-17T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.4,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-03T00:00:00+00:00","2019-12-17T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.5,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-17T00:00:00+00:00","2019-12-31T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-17T00:00:00+00:00","2019-12-31T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-31T00:00:00+00:00","2020-01-14T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-31T00:00:00+00:00","2020-01-14T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-01-28T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-01-28T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-02-11T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.4,"ug/m3",NA,NA,"benzene","Duplicate"
