date,monitor_id,latitude,longitude,rolling_12mo_avg
01/02/2019,BMT-01,30.07664,-94.07121,3.7
01/02/2019,BMT-02,30.07667,-94.06785,2.3
01/02/2019,BMT-03,30.07583,-94.06433,3.2
01/02/2019,BMT-05,30.07319,-94.05821,5.4
01/02/2019,BMT-06,30.07097,-94.05761,2.6
01/02/2019,BMT-07,30.06816,-94.058,1.6
01/02/2019,BMT-08,30.06701,-94.05709,1.3
01/02/2019,BMT-09,30.06896,-94.05434,0.9
01/02/2019,BMT-10,30.06711,-94.05172,1.1
01/02/2019,BMT-11,30.06474,-94.0527,1.2
01/02/2019,BMT-12,30.06382,-94.05473,1.1
01/02/2019,BMT-13,30.06308,-94.05812,1.4
01/02/2019,BMT-14,30.0609,-94.06012,1.3
01/02/2019,BMT-15,30.05644,-94.06226,1.2
01/02/2019,BMT-16,30.0564,-94.06921,3.0
01/02/2019,BMT-17,30.05087,-94.06865,1.2
01/02/2019,BMT-18,30.0468,-94.07106,1.5
01/02/2019,BMT-19,30.04831,-94.07391,1.8
01/02/2019,BMT-20,30.05013,-94.07581,1.7
01/02/2019,BMT-21,30.05423,-94.0797,1.4
01/02/2019,BMT-22,30.05793,-94.07944,1.2
01/02/2019,BMT-23,30.0594,-94.0786,1.4
01/02/2019,BMT-24,30.06203,-94.0795,1.2
01/02/2019,BMT-25,30.06612,-94.07808,1.2
01/02/2019,BMT-26,30.06983,-94.07565,2.4
01/02/2019,BMT-27,30.07475,-94.07576,1.9
01/07/2025,BMT-01,30.07664,-94.07121,1.8
01/07/2025,BMT-02,30.07667,-94.06785,2.3
01/07/2025,BMT-03,30.07583,-94.06433,2.2
01/07/2025,BMT-05,30.07319,-94.05821,5.0
01/07/2025,BMT-06,30.07097,-94.05761,1.4
01/07/2025,BMT-07,30.06816,-94.058,0.83
01/07/2025,BMT-08,30.06701,-94.05709,0.78
01/07/2025,BMT-09,30.06896,-94.05434,0.68
01/07/2025,BMT-10,30.06711,-94.05172,0.64
