Sampler Name,BMT-01,BMT-02,BMT-03,BMT-04*,BMT-05,BMT-06,BMT-07,BMT-08,BMT-09,BMT-10,BMT-11,BMT-12,BMT-13,BMT-14,BMT-15**,BMT-16,BMT-17,BMT-18,BMT-19,BMT-20,BMT-21,BMT-22,BMT-23,BMT-24,BMT-25,BMT-26,BMT-27
Sampler Latitude,30.07664,30.07667,30.07583,30.07467,30.07319,30.07097,30.06816,30.06701,30.06896,30.06711,30.06474,30.06382,30.06308,30.06090,30.05644,30.05640,30.05087,30.04680,30.04831,30.05013,30.05423,30.05793,30.05940,30.06203,30.06612,30.06983,30.07475
Sampler Longitude,-94.07121,-94.06785,-94.06433,-94.06087,-94.05821,-94.05761,-94.05800,-94.05709,-94.05434,-94.05172,-94.0527,-94.075473,-94.05812,-94.06012,-94.06226,-94.06921,-94.06865,-94.07106,-94.07391,-94.07581,-94.07970,-94.07944,-94.07860,-94.07950,-94.07808,-94.07565,-94.07576
Date of Retrieval,Benzene Sample Results (ug/m3),,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2024,4.1,11.0,3.9,6.2,11.0,2.2,1.6,1.2,0.8,0.7,0.8,0.8,1.3,1.5,1.0,1.2,1.3,1.7,2.6,1.6,1.2,0.6,0.5,0.9,1.1,1.2,1.5
2/6/2024,3.3,2.1,3.7,16.0,8.8,3.2,1.9,1.5,1.2,1.0,1.3,1.5,2.4,2.4,1.4,1.3,1.7,2.1,1.7,1.8,1.4,1.2,1.2,1.2,1.3,1.8,2.3
2/20/2024,3.2,2.4,3.1,13.0,2.4,1.6,1.0,0.8,0.7,0.7,0.8,0.8,1.3,1.3,1.0,1.0,1.1,1.3,1.2,1.1,0.9,0.8,0.9,0.8,0.9,1.0,1.2
3/5/2024,2.9,2.6,4.2,4.7,3.4,1.4,1.1,0.8,0.7,0.6,0.7,0.7,1.1,1.3,1.5,1.4,1.1,1.0,1.1,1.0,0.8,0.8,0.9,0.7,0.9,1.1,1.2
3/19/2024,2.7,2.4,28.0,6.7,1.2,0.9,0.8,0.6,0.5,0.4,0.5,0.5,0.8,0.9,0.7,1.0,0.8,0.9,1.3,1.3,0.8,1.0,0.9,0.8,1.0,1.5,1.4
4/2/2024,2.8,2.6,2.7,3.0,1.8,0.7,0.8,0.6,0.5,0.5,0.5,0.6,1.0,0.9,0.7,0.8,0.8,0.8,1.0,1.0,0.8,0.7,0.8,0.7,1.0,1.4,1.2
4/16/2024,6.5,6.0,6.5,4.8,2.2,1.6,2.5,1.5,0.6,0.6,0.8,1.0,1.7,1.3,0.7,0.6,0.8,1.0,0.6,0.9,0.6,0.6,0.6,0.8,0.7,0.7,1.5
4/30/2024,4.0,3.5,4.6,5.2,1.4,0.8,0.5,0.6,0.5,0.5,0.5,0.6,0.9,0.7,0.6,0.7,0.6,0.7,1.1,1.1,0.9,0.8,1.4,0.9,0.9,1.2,2.3
5/14/2024,3.6,3.2,3.2,2.9,1.6,1.7,0.7,0.6,0.5,0.5,0.5,0.5,0.7,0.6,0.5,0.7,0.6,0.7,1.2,1.2,0.8,0.8,0.9,0.8,1.0,1.5,2.3
5/28/2024,3.9,3.6,4.1,4.5,1.5,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.8,1.1,1.1,0.9,1.0,0.9,0.8,1.0,1.2,1.8
6/11/2024,2.3,2.4,2.2,3.4,9.7,1.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.7,0.6,0.7,1.4,1.5,0.8,0.8,0.9,****,1.5,1.5,1.5
6/25/2024,2.5,2.2,3.3,10.0,4.4,1.8,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.6,0.6,0.5,0.5,1.6,0.9,0.8,1.0,0.9,1.1,2.2,1.7
7/9/2024,3.2,2.8,4.2,2.2,3.9,1.3,0.75,0.70,0.52,0.18,0.47,0.52,0.76,0.75,0.60,0.99,0.85,0.64,0.69,0.64,0.48,0.59,0.68,0.57,0.67,0.86,0.72
7/23/2024,2.0,2.2,3.5,9.6,18.0,2.1,1.0,0.7,0.7,0.5,0.6,0.6,1.0,0.8,0.6,1.0,1.0,0.8,1.0,1.1,0.7,0.8,0.9,0.8,0.9,1.2,1.0
8/6/2024,3.1,2.2,3.2,5.4,18.0,1.2,0.9,0.7,0.8,0.6,0.6,0.5,0.9,0.7,0.6,0.9,0.6,0.7,1.0,1.0,0.7,0.6,0.6,0.6,0.8,0.9,0.8
8/20/2024,1.5,2.1,2.1,1.6,42.0,2.7,1.0,0.9,1.0,0.8,0.8,0.7,0.8,0.8,0.8,0.9,1.1,0.9,1.6,1.2,0.7,0.7,0.8,0.7,0.8,0.9,0.7
9/3/2024,2.0,1.7,6.2,4.6,1.4,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.7,2.1,2.0,1.0,1.0,1.2,1.0,1.2,2.8,1.4
9/17/2024,1.1,3.8,1.5,2.1,5.5,1.0,0.8,0.6,0.5,0.6,0.5,0.6,1.0,0.8,0.6,1.1,0.7,0.9,1.5,1.3,1.0,0.9,1.1,0.8,0.9,1.5,0.7
9/30/2024,2.3,2.5,1.8,3.6,3.6,4.7,1.6,1.2,1.0,1.0,0.8,0.8,0.9,1.3,1.6,1.0,1.2,1.3,1.3,1.1,0.9,0.8,0.8,0.8,0.8,0.8,1.0
10/15/2024,2.6,1.7,2.2,4.2,5.7,1.4,1.2,0.7,0.6,0.9,0.8,0.7,0.9,1.0,0.9,1.9,1.8,0.9,1.9,1.9,1.6,1.8,2.2,2.0,1.3,2.1,0.9
10/29/2024,2.8,2.9,5.1,12.0,2.0,1.2,0.8,0.8,0.8,0.9,0.8,0.7,0.9,0.9,0.9,0.9,0.8,0.9,1.7,1.8,1.3,1.3,1.5,1.5,1.5,2.2,1.5
