"Age-Adjusted Invasive Cancer Incidence Rates by County in Texas"
"Leukemia, 2018"

County,Population At Risk,Cases,Crude Rate,Age-Adjusted Rate,95% Confidence Interval Lower,95% Confidence Interval Upper
Armstrong,1873,~,~,~,~,~
Briscoe,1428,~,~,~,~,~
Floyd,5542,~,~,~,~,~
Reagan,3349,~,~,~,~,~
Terry,11987,~,~,~,~,~
Winkler,7690,~,~,~,~,~
Delta,5220,~,~,~,~,~
Kinney,3260,~,~,~,~,~
Castro,7505,~,~,~,~,~
Freestone,19443,~,~,~,~,~
Yoakum,7776,~,~,~,~,~
Stonewall,1246,~,~,~,~,~
Mitchell,8847,~,~,~,~,~
Irion,1506,~,~,~,~,~
Wheeler,5146,~,~,~,~,~
Crosby,5337,~,~,~,~,~
Clay,10207,~,~,~,~,~
Cochran,2561,~,~,~,~,~
Andrews,17869,~,~,~,~,~
Grimes,28149,~,~,~,~,~
Willacy,20554,~,~,~,~,~
Hardeman,3565,~,~,~,~,~
Baylor,3530,~,~,~,~,~
Bee,31260,~,~,~,~,~
Burnet,47196,18,38.1,29.5,16.6,48.9
Leon,15845,~,~,~,~,~
Comal,147255,52,35.3,29.3,21.6,39.0
Burleson,17655,~,~,~,~,~
Parmer,9926,~,~,~,~,~
Young,17962,~,~,~,~,~
Duval,10047,~,~,~,~,~
Lee,17197,~,~,~,~,~
Jim Hogg,4877,~,~,~,~,~
Goliad,7070,~,~,~,~,~
Hunt,96909,27,27.9,26.2,17.1,38.4
Rusk,52492,16,30.5,26.2,14.8,43.2
De Witt,19812,~,~,~,~,~
Throckmorton,1470,~,~,~,~,~
Fannin,35079,~,~,~,~,~
Blanco,11006,~,~,~,~,~
Rains,11798,~,~,~,~,~
Fayette,24444,~,~,~,~,~
Guadalupe,165745,41,24.7,24.0,17.1,32.7
Anderson,58226,~,~,~,~,~
Zavala,10093,~,~,~,~,~
Camp,12495,~,~,~,~,~
Grayson,131860,38,28.8,23.5,16.4,32.8
Crockett,3125,~,~,~,~,~
Stephens,9232,~,~,~,~,~
Kendall,42462,~,~,~,~,~
Dawson,12141,~,~,~,~,~
Chambers,43210,~,~,~,~,~
Johnson,172247,41,23.8,21.9,15.6,30.0
Sabine,10030,~,~,~,~,~
Bandera,20537,~,~,~,~,~
Victoria,91336,25,27.4,21.6,13.9,32.4
Navarro,51244,~,~,~,~,~
Milam,25014,~,~,~,~,~
Brown,38087,~,~,~,~,~
Potter,120278,25,20.8,20.7,13.3,30.7
Parker,139220,33,23.7,20.7,14.1,29.4
Robertson,16905,~,~,~,~,~
Hartley,5470,~,~,~,~,~
McLennan,255333,55,21.5,20.2,15.1,26.4
Wilson,48607,~,~,~,~,~
Concho,3123,~,~,~,~,~
Calhoun,20592,~,~,~,~,~
San Saba,5801,~,~,~,~,~
Titus,31398,~,~,~,~,~
Hockley,21761,~,~,~,~,~
Galveston,342612,71,20.7,19.9,15.5,25.3
Gray,21601,~,~,~,~,~
Sutton,3469,~,~,~,~,~
Denton,853441,144,16.9,19.6,16.3,23.2
Hood,59082,21,35.5,19.5,11.8,31.6
Brazos,227553,31,13.6,19.4,13.0,27.6
Schleicher,2604,~,~,~,~,~
Uvalde,24977,~,~,~,~,~
Montague,19641,~,~,~,~,~
Polk,48023,~,~,~,~,~
Knox,3381,~,~,~,~,~
San Jacinto,27232,~,~,~,~,~
Van Zandt,57825,~,~,~,~,~
Madison,13614,~,~,~,~,~
Hale,33242,~,~,~,~,~
Fisher,3705,~,~,~,~,~
Wichita,129029,24,18.6,18.2,11.5,27.3
Randall,136837,29,21.2,18.1,12.0,26.3
Eastland,17803,~,~,~,~,~
Hansford,5449,~,~,~,~,~
Gregg,123329,26,21.1,17.9,11.6,26.6
Cooke,40776,~,~,~,~,~
Bell,357215,57,16.0,17.8,13.4,23.2
Lubbock,305288,50,16.4,17.7,13.0,23.4
Mills,4547,~,~,~,~,~
Live Oak,11323,~,~,~,~,~
Jones,19639,~,~,~,~,~
Cass,28924,~,~,~,~,~
Wharton,41477,~,~,~,~,~
Smith,228423,50,21.9,17.4,12.9,23.2
Brooks,7156,~,~,~,~,~
Jasper,33771,~,~,~,~,~
Palo Pinto,28162,~,~,~,~,~
Real,2914,~,~,~,~,~
Angelina,86512,18,20.8,17.0,10.0,27.3
Hopkins,36440,~,~,~,~,~
Ellis,180928,31,17.1,16.7,11.2,24.0
Tarrant,2073591,322,15.5,16.7,14.9,18.7
Presidio,6396,~,~,~,~,~
Wise,66539,~,~,~,~,~
Travis,1242969,175,14.1,16.4,14.0,19.2
Collin,1007962,147,14.6,16.4,13.8,19.4
Harrison,68681,~,~,~,~,~
