"Age-Adjusted Invasive Cancer Incidence Rates by County in Texas"
"Myeloma, 2020"

County,Population At Risk,Cases,Crude Rate,Age-Adjusted Rate,95% Confidence Interval Lower,95% Confidence Interval Upper
Glasscock,1115,~,~,~,~,~
La Salle,6663,~,~,~,~,~
Shackelford,3110,~,~,~,~,~
Upton,3299,~,~,~,~,~
Carson,5792,~,~,~,~,~
Baylor,3463,~,~,~,~,~
Sutton,3356,~,~,~,~,~
Crockett,3093,~,~,~,~,~
Bee,31038,~,~,~,~,~
Camp,12428,~,~,~,~,~
Franklin,10369,~,~,~,~,~
Karnes,14760,~,~,~,~,~
Young,17849,~,~,~,~,~
Mitchell,9009,~,~,~,~,~
Delta,5228,~,~,~,~,~
Winkler,7754,~,~,~,~,~
Montague,19999,~,~,~,~,~
Knox,3347,~,~,~,~,~
Llano,21290,~,~,~,~,~
Fayette,24471,~,~,~,~,~
Gonzales,19681,~,~,~,~,~
Freestone,19440,~,~,~,~,~
Grayson,136099,27,19.8,13.9, 9.1,20.7
Real,2751,~,~,~,~,~
Robertson,16766,~,~,~,~,~
Floyd,5370,~,~,~,~,~
Uvalde,24571,~,~,~,~,~
Cooke,41748,~,~,~,~,~
Kimble,4293,~,~,~,~,~
Live Oak,11349,~,~,~,~,~
Sabine,9892,~,~,~,~,~
Falls,16960,~,~,~,~,~
Marion,9752,~,~,~,~,~
Val Verde,47605,~,~,~,~,~
Gillespie,26748,~,~,~,~,~
Fisher,3678,~,~,~,~,~
McLennan,261193,34,13.0,11.5, 7.9,16.2
Polk,50503,~,~,~,~,~
Johnson,180964,21,11.6,11.3, 6.9,17.4
Deaf Smith,18526,~,~,~,~,~
Palo Pinto,28452,~,~,~,~,~
Panola,22499,~,~,~,~,~
Houston,22062,~,~,~,~,~
Maverick,57875,~,~,~,~,~
Collin,1075736,110,10.2,10.8, 8.8,13.0
Atascosa,49128,~,~,~,~,~
Mason,3968,~,~,~,~,~
Angelina,86388,~,~,~,~,~
Bandera,20998,~,~,~,~,~
Kaufman,147140,~,~,~,~,~
Grimes,29440,~,~,~,~,~
Childress,6661,~,~,~,~,~
Refugio,6748,~,~,~,~,~
Ector,165490,~,~,~,~,~
Bastrop,98057,~,~,~,~,~
Lee,17506,~,~,~,~,~
Brazoria,373493,36, 9.6, 9.3, 6.4,13.0
Jones,19682,~,~,~,~,~
Gregg,124251,~,~,~,~,~
Tarrant,2115840,181, 8.6, 9.2, 7.8,10.6
Fannin,35801,~,~,~,~,~
Jefferson,256133,29,11.3, 8.9, 5.9,13.0
San Saba,5727,~,~,~,~,~
Chambers,47019,~,~,~,~,~
Austin,30132,~,~,~,~,~
Cherokee,50493,~,~,~,~,~
Callahan,13747,~,~,~,~,~
Midland,170362,~,~,~,~,~
Hale,32465,~,~,~,~,~
Washington,35804,~,~,~,~,~
Guadalupe,173697,16, 9.2, 8.6, 4.8,14.1
Liberty,92479,~,~,~,~,~
Waller,57285,~,~,~,~,~
Wichita,129620,~,~,~,~,~
Jackson,14997,~,~,~,~,~
Denton,914398,71, 7.8, 8.3, 6.4,10.6
Bowie,92923,~,~,~,~,~
Montgomery,625291,52, 8.3, 8.3, 6.1,10.9
Potter,118275,~,~,~,~,~
Ellis,194317,~,~,~,~,~
El Paso,866606,70, 8.1, 8.1, 6.3,10.3
Dallas,2610112,191, 7.3, 8.0, 6.9, 9.3
San Patricio,68841,~,~,~,~,~
Kerr,52693,~,~,~,~,~
Zavala,9661,~,~,~,~,~
Williamson,615552,49, 8.0, 8.0, 5.8,10.6
Harris,4734792,333, 7.0, 7.8, 6.9, 8.7
Rockwall,109158,~,~,~,~,~
Castro,7334,~,~,~,~,~
Galveston,351590,32, 9.1, 7.8, 5.2,11.1
Medina,50952,~,~,~,~,~
Somervell,9205,~,~,~,~,~
Taylor,143454,~,~,~,~,~
Hopkins,36827,~,~,~,~,~
Bell,372258,27, 7.2, 7.4, 4.9,10.9
Kendall,44539,~,~,~,~,~
Hardin,56350,~,~,~,~,~
Lubbock,311578,23, 7.4, 7.4, 4.6,11.2
Fort Bend,829109,57, 6.9, 7.2, 5.4, 9.5
Hutchinson,20569,~,~,~,~,~
Jasper,32919,~,~,~,~,~
Titus,31291,~,~,~,~,~
Ochiltree,9955,~,~,~,~,~
Bexar,2015501,142, 7.0, 7.2, 6.0, 8.5
Wood,45037,~,~,~,~,~
Henderson,82403,~,~,~,~,~
Terry,11793,~,~,~,~,~
Smith,234199,21, 9.0, 7.0, 4.3,10.9
Goliad,7020,~,~,~,~,~
Travis,1296613,78, 6.0, 6.9, 5.4, 8.7
Archer,8556,~,~,~,~,~
Nueces,353398,28, 7.9, 6.9, 4.5,10.0
Hamilton,8248,~,~,~,~,~
Caldwell,45945,~,~,~,~,~
Stephens,9093,~,~,~,~,~
Lamar,50131,~,~,~,~,~
Burnet,49483,~,~,~,~,~
Hidalgo,872856,51, 5.8, 6.5, 4.8, 8.5
Matagorda,36287,~,~,~,~,~
Cameron,421480,29, 6.9, 6.4, 4.3, 9.2
Parker,149552,~,~,~,~,~
Moore,21264,~,~,~,~,~
Orange,84754,~,~,~,~,~
Tom Green,120195,~,~,~,~,~
Lamb,13011,~,~,~,~,~
Ward,11674,~,~,~,~,~
San Jacinto,27533,~,~,~,~,~
Wilson,50052,~,~,~,~,~
Hunt,100254,~,~,~,~,~
Navarro,52838,~,~,~,~,~
Tyler,19810,~,~,~,~,~
Van Zandt,59758,~,~,~,~,~
Madison,13461,~,~,~,~,~
Andrews,18612,~,~,~,~,~
Pecos,15187,~,~,~,~,~
Runnels,9919,~,~,~,~,~
Brazos,234505,~,~,~,~,~
Coryell,83130,~,~,~,~,~
San Augustine,7921,~,~,~,~,~
Webb,267363,~,~,~,~,~
Clay,10257,~,~,~,~,~
Frio,18412,~,~,~,~,~
Rusk,52252,~,~,~,~,~
Lavaca,20354,~,~,~,~,~
Victoria,91311,~,~,~,~,~
Randall,141347,~,~,~,~,~
Comal,163659,~,~,~,~,~
Harrison,68801,~,~,~,~,~
Wilbarger,12842,~,~,~,~,~
Cass,28442,~,~,~,~,~
Red River,11561,~,~,~,~,~
Burleson,17682,~,~,~,~,~
