-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 02/13/2018 through 12/22/2025 in LST
Location: latitude  30.0638   longitude -94.0691 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 14.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,DOY,WS50M,WD50M
2018,44,4.25,81.7
2018,45,5.96,159.2
2018,46,6.77,180.4
2018,47,5.24,208.1
2018,48,4.39,210.6
2018,49,5.04,141.1
2018,50,8.04,154.2
2018,51,8.59,154.2
2018,52,6.81,160.2
2018,53,6.1,161.0
2018,54,6.09,151.2
2018,55,7.67,176.0
2018,56,3.8,144.3
2018,57,5.31,48.7
2018,58,7.04,137.2
2018,59,7.3,177.5
2018,60,6.11,1.8
2018,61,5.41,55.0
2018,62,5.9,95.0
2018,63,6.66,133.8
2018,64,6.18,195.3
2018,65,6.04,11.1
2018,66,5.86,348.9
2018,67,4.76,83.5
2018,68,6.51,153.7
2018,69,6.44,178.2
2018,70,5.92,316.7
2018,71,5.53,14.0
2018,72,3.73,30.0
2018,73,3.94,92.8
2018,74,6.05,166.3
2018,75,6.91,197.2
2018,76,4.9,181.3
2018,77,4.08,178.2
2018,78,6.39,282.0
2018,79,7.1,331.5
2018,80,3.24,39.2
2018,81,4.99,136.1
2018,82,7.66,173.0
2018,83,7.58,195.9
2018,84,5.85,167.4
2018,85,8.41,157.1
2018,86,7.97,153.2
2018,87,7.44,156.3
2018,88,4.1,209.8
2018,89,5.37,38.3
2018,90,5.82,149.2
2018,91,6.28,168.5
2018,92,6.4,169.6
2018,93,6.88,179.9
2018,94,7.58,35.9
2018,95,5.66,114.4
2018,96,7.08,179.5
2018,97,6.4,359.9
2018,98,3.1,66.0
2018,99,4.59,40.2
2018,100,5.73,21.0
2018,101,4.99,131.0
2018,102,7.66,164.3
2018,103,8.97,167.5
2018,104,7.17,313.8
2018,105,7.09,321.0
2018,106,3.46,183.3
2018,107,8.04,188.3
2018,108,5.15,215.9
2018,109,6.2,18.3
2018,110,5.54,82.9
2018,111,7.35,129.7
2018,112,6.71,307.7
2018,113,5.37,313.7
2018,114,2.94,337.3
2018,115,3.48,262.6
2018,116,4.99,346.3
2018,117,3.5,12.9
2018,118,2.6,178.5
2018,119,4.13,165.9
2018,120,5.52,144.4
2018,121,7.17,143.7
2018,122,8.23,151.8
2018,123,7.39,157.2
2018,124,4.14,166.5
2018,125,3.72,348.9
2018,126,2.52,14.4
2018,127,3.48,229.8
2018,128,4.78,220.0
2018,129,4.64,193.7
2018,130,5.2,169.2
2018,131,6.71,160.4
2018,132,6.1,154.3
2018,133,4.77,156.2
2018,134,4.16,179.7
2018,135,3.45,224.2
2018,136,4.77,238.7
2018,137,5.12,242.5
2018,138,5.56,203.7
2018,139,6.47,162.0
2018,140,4.79,152.2
2018,141,3.36,168.4
2018,142,2.82,152.9
2018,143,2.99,134.6
2018,144,3.21,100.9
2018,145,2.54,180.9
2018,146,3.27,203.3
2018,147,2.15,169.5
2018,148,2.64,276.0
2018,149,4.44,229.5
2018,150,5.26,186.1
2018,151,6.29,177.4
2018,152,5.52,185.9
2018,153,5.25,203.7
2018,154,3.02,243.7
2018,155,3.28,217.1
2018,156,3.94,209.0
2018,157,3.15,171.2
2018,158,3.89,152.0
2018,159,4.01,152.2
2018,160,3.8,174.9
2018,161,6.12,186.9
2018,162,6.22,182.0
2018,163,5.7,174.6
2018,164,4.23,173.8
2018,165,3.62,182.0
2018,166,4.87,165.1
2018,167,5.79,142.4
2018,168,7.52,125.7
2018,169,8.28,125.6
2018,170,6.77,124.6
2018,171,5.49,131.6
2018,172,3.7,175.9
2018,173,5.49,211.2
2018,174,6.33,185.5
2018,175,6.49,174.6
2018,176,5.65,164.2
2018,177,3.93,179.0
2018,178,4.09,199.1
2018,179,4.66,198.4
2018,180,4.79,190.8
2018,181,4.82,187.3
2018,182,4.37,197.2
2018,183,3.63,209.0
2018,184,3.45,226.1
2018,185,4.42,155.1
2018,186,2.58,55.4
2018,187,3.7,75.9
2018,188,2.14,103.2
2018,189,2.44,163.3
2018,190,2.5,195.7
2018,191,2.12,204.6
2018,192,2.9,232.2
2018,193,2.87,226.7
2018,194,3.12,202.0
2018,195,3.67,210.1
2018,196,4.02,220.6
2018,197,4.43,227.0
2018,198,4.86,232.2
2018,199,4.9,224.8
2018,200,4.71,227.5
2018,201,4.9,226.5
2018,202,5.15,229.3
2018,203,5.82,238.9
2018,204,4.94,245.2
2018,205,2.87,49.0
2018,206,2.96,56.8
2018,207,3.63,132.1
2018,208,3.46,194.8
2018,209,3.22,184.6
2018,210,2.49,179.7
2018,211,3.39,202.8
2018,212,2.86,254.6
2018,213,2.62,1.6
2018,214,3.17,60.6
2018,215,3.6,127.0
2018,216,4.11,157.1
2018,217,4.41,122.2
2018,218,4.47,144.2
2018,219,3.36,160.6
2018,220,3.8,178.3
2018,221,4.05,199.0
2018,222,4.18,209.7
2018,223,3.01,185.8
2018,224,4.29,171.8
2018,225,4.14,167.1
2018,226,4.43,168.5
2018,227,4.61,186.5
2018,228,4.03,202.3
2018,229,3.9,198.7
2018,230,4.54,210.9
2018,231,5.86,205.7
2018,232,5.46,214.2
2018,233,4.5,242.5
2018,234,3.0,354.0
2018,235,2.89,122.2
2018,236,3.28,161.1
2018,237,4.33,142.3
2018,238,3.78,148.5
2018,239,4.66,155.1
2018,240,4.48,159.6
2018,241,3.83,139.5
2018,242,4.15,109.6
2018,243,3.86,102.4
2018,244,3.93,106.5
2018,245,3.32,90.9
2018,246,4.75,131.9
2018,247,4.85,96.5
2018,248,3.76,112.0
2018,249,2.28,197.0
2018,250,3.19,212.9
2018,251,3.74,198.8
2018,252,1.82,228.3
2018,253,2.78,77.0
2018,254,4.14,94.9
2018,255,5.26,82.9
2018,256,5.44,71.6
2018,257,4.57,90.8
2018,258,3.53,114.2
2018,259,2.41,281.2
2018,260,3.26,277.4
2018,261,3.19,258.9
2018,262,3.11,212.6
2018,263,3.67,157.6
2018,264,4.88,154.8
2018,265,4.35,170.3
2018,266,4.36,192.7
2018,267,3.39,214.9
2018,268,4.02,177.5
2018,269,2.05,206.2
2018,270,3.34,345.5
2018,271,3.68,73.2
2018,272,4.2,89.5
2018,273,4.43,96.8
2018,274,3.95,90.7
2018,275,3.7,107.8
2018,276,3.51,138.2
2018,277,3.41,144.7
2018,278,4.93,134.7
2018,279,4.67,127.0
2018,280,6.01,128.5
2018,281,5.9,121.7
2018,282,5.17,112.9
2018,283,4.61,3.2
2018,284,5.29,23.9
2018,285,3.82,97.3
2018,286,6.33,154.5
2018,287,6.05,169.8
2018,288,4.57,56.9
2018,289,5.64,27.2
2018,290,5.81,25.3
2018,291,6.11,48.6
2018,292,4.52,82.6
2018,293,4.73,13.5
2018,294,6.32,40.2
2018,295,4.35,40.6
2018,296,5.61,28.3
2018,297,6.84,69.9
2018,298,5.44,307.6
2018,299,4.74,316.2
2018,300,3.76,237.1
2018,301,5.11,241.0
2018,302,4.83,213.4
2018,303,6.8,172.9
2018,304,7.13,171.4
2018,305,6.12,319.3
2018,306,4.42,281.3
2018,307,7.07,179.2
2018,308,5.06,105.6
2018,309,7.0,175.8
2018,310,3.95,182.0
2018,311,4.34,184.9
2018,312,3.23,51.0
2018,313,7.43,13.8
2018,314,4.98,31.3
2018,315,4.91,61.4
2018,316,6.83,0.4
2018,317,7.67,339.4
2018,318,5.75,328.1
2018,319,2.74,304.5
2018,320,3.05,194.5
2018,321,4.82,125.4
2018,322,3.11,103.9
2018,323,4.78,17.8
2018,324,5.9,18.5
2018,325,4.08,51.7
2018,326,3.58,73.0
2018,327,4.5,174.4
2018,328,3.76,171.5
2018,329,7.28,282.3
2018,330,6.91,343.2
2018,331,3.62,263.0
2018,332,5.78,178.7
2018,333,6.89,185.1
2018,334,6.91,157.7
2018,335,6.37,246.4
2018,336,4.94,327.2
2018,337,6.67,17.6
2018,338,5.72,15.7
2018,339,4.31,61.4
2018,340,5.48,110.4
2018,341,6.54,132.5
2018,342,6.93,301.6
2018,343,5.99,335.6
2018,344,4.17,334.1
2018,345,4.31,124.5
2018,346,6.79,147.7
2018,347,8.03,194.9
2018,348,7.65,276.7
2018,349,5.98,308.4
2018,350,2.88,40.6
2018,351,2.96,202.4
2018,352,4.16,110.8
2018,353,4.34,52.3
2018,354,9.15,316.8
2018,355,6.15,300.2
2018,356,6.93,188.1
2018,357,5.29,342.2
2018,358,5.15,101.4
2018,359,5.09,133.1
2018,360,9.34,122.4
2018,361,7.35,180.2
2018,362,5.95,24.3
2018,363,5.9,25.1
2018,364,2.81,13.7
2018,365,3.67,252.4
2019,1,5.01,24.1
2019,2,5.37,35.2
2019,3,6.1,331.8
2019,4,5.07,290.5
2019,5,2.88,206.3
2019,6,5.13,158.2
2019,7,6.02,183.0
2019,8,3.77,248.7
2019,9,6.01,25.3
2019,10,3.71,61.4
2019,11,5.44,112.2
2019,12,6.91,276.8
2019,13,5.39,359.1
2019,14,4.23,19.4
2019,15,2.56,76.7
2019,16,4.16,134.5
2019,17,5.47,231.7
2019,18,4.95,176.4
2019,19,10.82,304.2
2019,20,4.95,3.7
2019,21,6.27,129.6
2019,22,8.64,163.1
2019,23,7.39,316.6
2019,24,2.58,47.5
2019,25,3.47,114.4
2019,26,3.83,114.8
2019,27,3.21,334.4
2019,28,5.35,207.5
2019,29,7.0,15.9
2019,30,5.27,94.1
2019,31,6.45,107.0
2019,32,4.02,103.4
2019,33,4.33,106.5
2019,34,5.07,149.5
2019,35,4.8,175.7
2019,36,5.47,167.5
2019,37,6.75,167.9
2019,38,7.6,269.1
2019,39,7.62,19.8
2019,40,4.62,47.2
2019,41,5.64,109.4
2019,42,6.8,167.7
2019,43,7.48,324.1
2019,44,4.89,123.9
2019,45,7.57,195.4
2019,46,6.53,202.6
2019,47,3.98,143.3
2019,48,6.1,0.8
2019,49,7.9,46.4
2019,50,6.05,95.1
2019,51,5.1,350.6
2019,52,4.12,70.9
2019,53,5.36,145.6
2019,54,6.63,218.0
2019,55,6.2,12.8
2019,56,5.88,82.8
2019,57,5.15,83.6
2019,58,4.18,153.1
2019,59,3.35,321.6
2019,60,2.28,28.2
2019,61,3.72,74.4
2019,62,6.66,0.2
2019,63,6.35,4.4
2019,64,5.77,1.2
2019,65,5.0,97.8
2019,66,6.63,157.8
2019,67,7.4,183.3
2019,68,7.26,184.9
2019,69,3.93,136.9
2019,70,4.37,116.4
2019,71,6.5,117.0
2019,72,9.75,168.4
2019,73,6.54,318.1
2019,74,6.73,7.8
2019,75,4.16,28.0
2019,76,3.95,38.9
2019,77,4.59,73.5
2019,78,4.52,97.7
2019,79,3.02,130.9
2019,80,3.09,321.2
2019,81,4.05,216.0
2019,82,5.9,153.3
2019,83,5.68,168.8
2019,84,4.07,248.5
2019,85,5.34,27.9
2019,86,5.06,108.9
2019,87,6.54,156.1
2019,88,6.71,160.4
2019,89,6.41,237.4
2019,90,6.56,19.0
2019,91,4.7,26.4
2019,92,3.5,87.8
2019,93,5.9,124.2
2019,94,6.55,170.4
2019,95,3.51,112.1
2019,96,6.56,137.6
2019,97,6.44,156.5
2019,98,6.72,296.9
2019,99,3.78,306.5
2019,100,6.55,176.6
2019,101,6.79,182.5
2019,102,6.72,77.6
2019,103,9.45,183.0
2019,104,7.21,313.8
2019,105,5.32,160.9
2019,106,7.02,153.5
2019,107,7.46,148.2
2019,108,7.27,283.1
2019,109,8.04,316.9
2019,110,4.28,258.4
2019,111,6.59,162.0
2019,112,6.58,146.7
2019,113,5.83,134.7
2019,114,6.44,133.9
2019,115,6.2,298.3
2019,116,3.89,27.9
2019,117,5.77,180.8
2019,118,6.08,164.4
2019,119,7.75,153.2
2019,120,8.47,152.0
2019,121,7.56,151.1
